Name,Description,Type,Allocation,Category,Low Density Capacity,Mid Density Capcity,High Density Capacity,Long,Lat,Coordinates
314,314,YW,All,All,50,50,50,-118.24583,33.7286974,"-118.24583,33.7286974,0
              -118.2458018,33.7286271,0
              -118.2442502,33.7290788,0
              -118.2442797,33.7291524,0
              -118.24583,33.7286974,0"
315,315,YW,All,All,50,50,50,-118.2457741,33.7285568,"-118.2457741,33.7285568,0
              -118.2457406,33.7284765,0
              -118.2441916,33.7289271,0
              -118.2442265,33.7290107,0
              -118.2457741,33.7285568,0"
316,316,YW,All,All,50,50,50,-118.2456614,33.7282969,"-118.2456614,33.7282969,0
              -118.2456279,33.7282166,0
              -118.2440789,33.7286672,0
              -118.2441138,33.7287508,0
              -118.2456614,33.7282969,0"
317,317,YW,All,All,50,50,50,-118.2456004,33.7281419,"-118.2456004,33.7281419,0
              -118.2455669,33.7280616,0
              -118.2440179,33.7285122,0
              -118.2440528,33.7285958,0
              -118.2456004,33.7281419,0"
318,318,YW,All,All,50,50,50,-118.2454844,33.7278741,"-118.2454844,33.7278741,0
              -118.2454509,33.7277938,0
              -118.2439019,33.7282444,0
              -118.2439368,33.728328,0
              -118.2454844,33.7278741,0"
318,318,YW,All,All,50,50,50,-118.2472634,33.7273566,"-118.2472634,33.7273566,0
              -118.2472299,33.7272763,0
              -118.2456809,33.7277269,0
              -118.2457158,33.7278105,0
              -118.2472634,33.7273566,0"
401,401,Berth,None,N/A,N/A,N/A,N/A,-118.2457646,33.7324119,"-118.2457646,33.7324119,0
              -118.2456869,33.7322256,0
              -118.2430753,33.7329844,0
              -118.2431544,33.7331706,0
              -118.2457646,33.7324119,0"
402,402,Berth,None,N/A,N/A,N/A,N/A,-118.2495143,33.7313144,"-118.2495143,33.7313144,0
              -118.2494366,33.7311281,0
              -118.2468251,33.7318869,0
              -118.2469042,33.7320731,0
              -118.2495143,33.7313144,0"
403,403,Berth,None,N/A,N/A,N/A,N/A,-118.2533204,33.7302191,"-118.2533204,33.7302191,0
              -118.2532426,33.7300328,0
              -118.2506311,33.7307916,0
              -118.2507102,33.7309779,0
              -118.2520448,33.7305941,0
              -118.2533204,33.7302191,0"
404,404,Berth,None,N/A,N/A,N/A,N/A,-118.2569253,33.7291729,"-118.2569253,33.7291729,0
              -118.2568475,33.7289866,0
              -118.254236,33.7297454,0
              -118.2543151,33.7299317,0
              -118.2569253,33.7291729,0"
414,414,YW,All,All,50,50,50,-118.2475781,33.7281101,"-118.2475781,33.7281101,0
              -118.2460265,33.7285618,0
              -118.246056,33.7286354,0
              -118.2476063,33.7281804,0
              -118.2475781,33.7281101,0"
415,415,YW,All,All,50,50,50,-118.2475497,33.7280471,"-118.2475497,33.7280471,0
              -118.2475162,33.7279668,0
              -118.2459672,33.7284174,0
              -118.2460021,33.728501,0
              -118.2475497,33.7280471,0"
416,416,YW,All,All,50,50,50,-118.2474384,33.7277788,"-118.2474384,33.7277788,0
              -118.2474049,33.7276985,0
              -118.2458559,33.7281491,0
              -118.2458908,33.7282327,0
              -118.2474384,33.7277788,0"
417,417,YW,All,All,50,50,50,-118.2473746,33.7276266,"-118.2473746,33.7276266,0
              -118.2473412,33.7275463,0
              -118.2457922,33.7279969,0
              -118.2458271,33.7280805,0
              -118.2473746,33.7276266,0"
514,514,YW,All,All,50,50,50,-118.2494269,33.7276511,"-118.2494269,33.7276511,0
              -118.2493987,33.7275808,0
              -118.2478471,33.7280325,0
              -118.2478766,33.7281061,0
              -118.2494269,33.7276511,0"
515,515,YW,All,All,50,50,50,-118.2493722,33.7275172,"-118.2493722,33.7275172,0
              -118.2493387,33.7274369,0
              -118.2477897,33.7278875,0
              -118.2478246,33.7279711,0
              -118.2493722,33.7275172,0"
516,516,YW,All,All,50,50,50,-118.2492582,33.7272529,"-118.2492582,33.7272529,0
              -118.2492247,33.7271726,0
              -118.2476758,33.7276232,0
              -118.2477107,33.7277068,0
              -118.2492582,33.7272529,0"
517,517,YW,All,All,50,50,50,-118.2491959,33.7270951,"-118.2491959,33.7270951,0
              -118.2491624,33.7270148,0
              -118.2476134,33.7274654,0
              -118.2476483,33.727549,0
              -118.2491959,33.7270951,0"
518,518,YW,All,All,50,50,50,-118.2490792,33.7268201,"-118.2490792,33.7268201,0
              -118.2490457,33.7267398,0
              -118.2474967,33.7271904,0
              -118.2475316,33.727274,0
              -118.2490792,33.7268201,0"
614,614,YW,All,All,50,50,50,-118.2512038,33.7271331,"-118.2512038,33.7271331,0
              -118.2511756,33.7270628,0
              -118.2496241,33.7275145,0
              -118.2496536,33.7275881,0
              -118.2512038,33.7271331,0"
615,615,YW,All,All,50,50,50,-118.2511472,33.7269981,"-118.2511472,33.7269981,0
              -118.2511137,33.7269178,0
              -118.2495648,33.7273684,0
              -118.2495997,33.727452,0
              -118.2511472,33.7269981,0"
616,616,YW,All,All,50,50,50,-118.2510332,33.726732,"-118.2510332,33.726732,0
              -118.2509997,33.7266517,0
              -118.2494508,33.7271023,0
              -118.2494857,33.7271859,0
              -118.2510332,33.726732,0"
617,617,YW,All,All,50,50,50,-118.2509735,33.7265781,"-118.2509735,33.7265781,0
              -118.25094,33.7264978,0
              -118.2493911,33.7269484,0
              -118.249426,33.727032,0
              -118.2509735,33.7265781,0"
618,618,YW,All,All,50,50,50,-118.2508616,33.7263121,"-118.2508616,33.7263121,0
              -118.2508281,33.7262318,0
              -118.2492791,33.7266824,0
              -118.249314,33.726766,0
              -118.2508616,33.7263121,0"
714,714,YW,All,All,50,50,50,-118.2529788,33.7266167,"-118.2529788,33.7266167,0
              -118.2529506,33.7265464,0
              -118.251399,33.7269981,0
              -118.2514285,33.7270717,0
              -118.2529788,33.7266167,0"
715,715,YW,All,All,50,50,50,-118.2529242,33.726481,"-118.2529242,33.726481,0
              -118.2528907,33.7264007,0
              -118.2513417,33.7268513,0
              -118.2513766,33.7269349,0
              -118.2529242,33.726481,0"
716,716,YW,All,All,50,50,50,-118.2528075,33.7262161,"-118.2528075,33.7262161,0
              -118.252774,33.7261358,0
              -118.2512251,33.7265864,0
              -118.25126,33.72667,0
              -118.2528075,33.7262161,0"
717,717,YW,All,All,50,50,50,-118.2527492,33.7260622,"-118.2527492,33.7260622,0
              -118.2527157,33.7259819,0
              -118.2511667,33.7264325,0
              -118.2512016,33.7265161,0
              -118.2527492,33.7260622,0"
718,718,YW,All,All,50,50,50,-118.2526338,33.725794,"-118.2526338,33.725794,0
              -118.2526003,33.7257137,0
              -118.2510514,33.7261643,0
              -118.2510863,33.7262479,0
              -118.2526338,33.725794,0"
814,814,YW,All,All,50,50,50,-118.2547987,33.7260868,"-118.2547987,33.7260868,0
              -118.2547705,33.7260165,0
              -118.2532189,33.7264682,0
              -118.2532484,33.7265418,0
              -118.2547987,33.7260868,0"
815,815,YW,All,All,50,50,50,-118.2547427,33.7259529,"-118.2547427,33.7259529,0
              -118.2547092,33.7258726,0
              -118.2531603,33.7263232,0
              -118.2531952,33.7264068,0
              -118.2547427,33.7259529,0"
816,816,YW,All,All,50,50,50,-118.2546293,33.7256852,"-118.2546293,33.7256852,0
              -118.2545958,33.7256049,0
              -118.2530469,33.7260555,0
              -118.2530818,33.7261391,0
              -118.2546293,33.7256852,0"
817,817,YW,All,All,50,50,50,-118.2545683,33.7255324,"-118.2545683,33.7255324,0
              -118.2545348,33.7254521,0
              -118.2529859,33.7259027,0
              -118.2530208,33.7259863,0
              -118.2545683,33.7255324,0"
818,818,YW,All,All,50,50,50,-118.2544544,33.725263,"-118.2544544,33.725263,0
              -118.2544209,33.7251827,0
              -118.2528719,33.7256333,0
              -118.2529068,33.7257169,0
              -118.2544544,33.725263,0"
914,914,YW,All,All,50,50,50,-118.2565729,33.7255715,"-118.2565729,33.7255715,0
              -118.2565447,33.7255012,0
              -118.2549932,33.7259529,0
              -118.2550227,33.7260265,0
              -118.2565729,33.7255715,0"
915,915,YW,All,All,50,50,50,-118.2565203,33.7254331,"-118.2565203,33.7254331,0
              -118.2564868,33.7253528,0
              -118.2549379,33.7258034,0
              -118.2549728,33.725887,0
              -118.2565203,33.7254331,0"
916,916,YW,All,All,50,50,50,-118.2564103,33.7251783,"-118.2564103,33.7251783,0
              -118.2563768,33.725098,0
              -118.2548279,33.7255486,0
              -118.2548628,33.7256322,0
              -118.2564103,33.7251783,0"
917,917,YW,All,All,50,50,50,-118.2563453,33.7250132,"-118.2563453,33.7250132,0
              -118.2563118,33.7249329,0
              -118.2547629,33.7253835,0
              -118.2547978,33.7254671,0
              -118.2563453,33.7250132,0"
918,918,YW,All,All,50,50,50,-118.2562307,33.7247455,"-118.2562307,33.7247455,0
              -118.2561972,33.7246652,0
              -118.2546482,33.7251158,0
              -118.2546831,33.7251994,0
              -118.2562307,33.7247455,0"
A01,A01,YG,MTY,Storage,638,850,1063,-118.2450956,33.7318485,"-118.2450956,33.7318485,0
              -118.2450205,33.7316662,0
              -118.2420293,33.7325377,0
              -118.2421084,33.7327346,0
              -118.2450956,33.7318485,0"
